School Name,Start Date,End Date,Notes,Degree Name,Activities
KTH Royal Institute of Technology,Aug 2021,Jul 2023,,Master of Science - MS,
Università degli Studi di Padova,Sep 2018,Jul 2021,,Engineering and Management,
